"wallet_address","token_address","gross_profit","realized_profit","realized_profit_percent","unrealized_profit","unrealized_profit_percent","win_rate","wins","losses","trade_volume","trades","avg_trade_size","is_bot"
"5qTDDipZbfjRxBGFNJT2EWzHzhXnmEPwirYNdBQC2zLa",uksprydu4veb4cafv9hkzng9gnp1jsoch8oysmg9tcj,10148.00,0.00,0.00,782.09,14.91,100.00,1,0,15000.00,6,2600.00,0
"5ragkxXWZsRf9c6vmgbaVmWzFDVRqXpj8F5H9BpgteCH",hwshel812jwxxaza9epv8wu1e9apkr6d3vy5ecfsvpje,17594.00,-2273.80,-1.61,7.67,0.01,30.00,45,105,297000.00,1000,284.00,0
"5sERiYCzsCSSd4ACUrKLfZUWFEBtenkCBxrpFWDLpFbV",edpqmvu9okrtnkn8k3tvqwpew6uadexbemdpn7y3hvs2,13054.00,12350.00,53.09,67.04,0.29,39.29,11,17,58000.00,172,340.00,0
"5stAnCvWhhXmFUCH6x689Vdeb4BxwogTd2bZppUtB3AK","4tk5kfz9fab3ytx9k1fiyssm7njfvayseg32dqcj82t4",2555.70,0.00,0.00,0.00,0.00,0.00,0,0,2600.00,2,1300.00,0
"5suj5CA91EKzD9x3BBhyay5eDmNwMnquntAJADNLaews",edpqmvu9okrtnkn8k3tvqwpew6uadexbemdpn7y3hvs2,32211.00,14799.00,11.93,1198.00,0.97,49.72,88,89,270000.00,1300,205.00,0
"5TChSXGKsvRDweVRHkukoGzbCkCpimL4C14sXW4395k2","9sef2pwchp9qb6rfanp6rvuevu8hpmza4tnsyzwipgme",459838.00,-9393.40,-2.12,-22945.00,-5.17,29.69,38,90,1100000.00,471,2300.00,0
"5tH1gTJwWD1SZCZ1gwb63LNg114JH1YZtF4qeT3BoohN",hnxndek9suxvn12urquccxc267bwm1n472dhcvjmj35,35327.00,34525.00,212.36,29549.00,181.75,42.86,3,4,56000.00,56,1000.00,0
"5tpVaoyjHDaBHenWCfkXwPaPXbwew4UDHw4pX3Uo3fd3","6wy9wxyct5a1mgyjixfnmi3swgnugzdjy75jepvsr2mg",2993.00,363.24,6.77,0.00,0.00,50.00,2,2,14000.00,37,371.00,0
"5TXAdQFuTe4hn4JhYuyRMSspXtMQcoZ1z1QmqCF7SVuc",et36eupe6vkdbewty5c6pqfz3wvmlxgfbbzpephvcqcd,513.03,513.03,3.10,-4129.10,-24.92,20.00,1,4,25000.00,11,2200.00,0
"5u25M24eeTWM1JpJxM8UvVyfm7G6qekzUpocCEDamRWw","7vbqtbxevphssw3iuebvczrqo322jnjujun6scdcxr6t",5293.90,1676.60,11.24,0.00,0.00,100.00,1,0,35000.00,124,283.00,0
